program, SIMB_PROGRAM
ident, IDENTIFICADOR
;, SIMB_PV
var, SIMB_VAR
ident, IDENTIFICADOR
:, SIMB_DP
real, SIMB_TIPO
;, SIMB_PV
var, SIMB_VAR
ident, ERRO('IDENTIFICADOR MAL FORMADO')
:, SIMB_DP
integer, SIMB_TIPO
;, SIMB_PV
procedure, SIMB_PROCEDURE
ident, IDENTIFICADOR
(, SIMB_PA_ESQ
ident, IDENTIFICADOR
:, SIMB_DP
real, SIMB_TIPO
), SIMB_PA_DIR
;, SIMB_PV
var, SIMB_VAR
ident, IDENTIFICADOR
,, SIMB_VIR
ident, IDENTIFICADOR
:, SIMB_DP
integer, SIMB_TIPO
;, SIMB_PV
begin, SIMB_BEGIN
read, SIMB_READ
(, SIMB_PA_ESQ
ident, IDENTIFICADOR
,, SIMB_VIR
ident, IDENTIFICADOR
), SIMB_PA_DIR
;, SIMB_PV
if, SIMB_IF
ident, IDENTIFICADOR
<, SIMB_MENOR
ident, IDENTIFICADOR
+, SIMB_MAIS
ident, IDENTIFICADOR
then, SIMB_THEN
begin, SIMB_BEGIN
ident, IDENTIFICADOR
:=, SIMB_ATRIB
numero_real, REAL
;, SIMB_PV
write, SIMB_WRITE
(, SIMB_PA_ESQ
ident, IDENTIFICADOR
), SIMB_PA_DIR
;, SIMB_PV
end, SIMB_END
else, SIMB_ELSE
ident, IDENTIFICADOR
:=, SIMB_ATRIB
ident, IDENTIFICADOR
+, SIMB_MAIS
ident, IDENTIFICADOR
;, SIMB_PV
end, SIMB_END
;, SIMB_PV
begin, SIMB_BEGIN
read, SIMB_READ
(, SIMB_PA_ESQ
ident, IDENTIFICADOR
), SIMB_PA_DIR
;, SIMB_PV
ident, IDENTIFICADOR
(, SIMB_PA_ESQ
ident, IDENTIFICADOR
), SIMB_PA_DIR
;, SIMB_PV
end, SIMB_END
., SIMB_P
