program, SIMB_PROGRAM
fatorial, IDENTIFICADOR
;, SIMB_PV
var, SIMB_VAR
x, IDENTIFICADOR
,, SIMB_VIR
aux, IDENTIFICADOR
,, SIMB_VIR
fat, IDENTIFICADOR
:, SIMB_DP
integer, SIMB_TIPO
;, SIMB_PV
begin, SIMB_BEGIN
read, SIMB_READ
(, SIMB_PA_ESQ
x, IDENTIFICADOR
), SIMB_PA_DIR
;, SIMB_PV
fat, IDENTIFICADOR
:=, SIMB_ATRIB
1, INTEIRO
;, SIMB_PV
for, SIMB_FOR
aux, IDENTIFICADOR
:=, SIMB_ATRIB
1, INTEIRO
to, SIMB_TO
x, IDENTIFICADOR
do, SIMB_DO
begin, SIMB_BEGIN
fat, IDENTIFICADOR
:=, SIMB_ATRIB
fat, IDENTIFICADOR
*, SIMB_MUL
aux, IDENTIFICADOR
;, SIMB_PV
end, SIMB_END
;, SIMB_PV
write, SIMB_WRITE
(, SIMB_PA_ESQ
fat, IDENTIFICADOR
), SIMB_PA_DIR
;, SIMB_PV
end, SIMB_END
., SIMB_P
